기관명,병합시스템명,시스템명,등급,DR유무,이중화유무,예산사업No,세부사업명,단위사업명,국회확정금액(천원),매칭방법,서비스대상,업무도메인,시스템유형,기관유형,금융관련,개인정보수준,서비스채널,서비스대상,업무도메인,시스템유형,기관유형,금융관련,개인정보수준,서비스채널
한국잡월드,홈페이지,홈페이지 및 전시운영 시스템,3,N,Y,,한국잡월드 운영,,,기관매핑,대국민,고용서비스,홈페이지/포털,기타공공,N,저,웹,대국민,고용서비스,홈페이지/포털,기타공공,N,저,웹
한국사회적기업진흥원,홈페이지,대표홈페이지,3,N,Y,143,사회적기업 지원,사회적기업육성,"85,872,000",기관매핑,대국민,정보공개·홍보,홈페이지/포털,재단/진흥원,N,저,웹,대국민,정보공개·홍보,홈페이지/포털,재단/진흥원,N,저,웹
한국사회적기업진흥원,사회적기업진흥원 내부업무시스템,업무지원시스템,4,N,Y,143,사회적기업 지원,사회적기업육성,"85,872,000",기관매핑,내부,고용서비스,업무처리시스템,재단/진흥원,N,저,웹,내부,고용서비스,업무처리시스템,재단/진흥원,N,저,웹
한국사회적기업진흥원,사회적기업진흥원 내부업무시스템,통합사업관리시스템,4,N,Y,143,사회적기업 지원,사회적기업육성,"85,872,000",기관매핑,혼합,행정지원,업무처리시스템,재단/진흥원,N,중,웹,혼합,행정지원,업무처리시스템,재단/진흥원,N,중,웹
한국고용노동교육원,한국고용노동교육원 내부업무시스템,한국고용노동교육원 통합업무시스템,4,N,Y,,한국고용노동교육원운영지원(정보화),,,기관매핑,혼합,노사관계,업무처리시스템,교육기관,N,저,웹,혼합,노사관계,업무처리시스템,교육기관,N,저,웹
한국고용노동교육원,한국고용노동교육원 내부업무시스템,홈페이지 및 교육운영시스템,3,N,Y,,한국고용노동교육원운영지원(정보화),,,기관매핑,대국민,노사관계,교육/학습(LMS),교육기관,N,저,웹,대국민,노사관계,교육/학습(LMS),교육기관,N,저,웹
한국기술교육대학교,한기대학사행정시스템,K-LXP 학생 맞춤형 성장지원 시스템,미부여,N,Y,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,혼합,직업훈련·교육,교육/학습(LMS),교육기관,N,저,웹,혼합,직업훈련·교육,교육/학습(LMS),교육기관,N,저,웹
한국기술교육대학교,한기대내부업무시스템,K-디지털 트레이닝 심사·평가 관리 시스템,미부여,N,N,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,내부,직업훈련·교육,업무처리시스템,교육기관,N,저,웹,내부,직업훈련·교육,업무처리시스템,교육기관,N,저,웹
한국기술교육대학교,한기대LMS,OKLMS,4,Y,Y,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,혼합,직업훈련·교육,교육/학습(LMS),교육기관,N,중,웹,혼합,직업훈련·교육,교육/학습(LMS),교육기관,N,중,웹
한국기술교육대학교,홈페이지,고용직업능력개발센터 홈페이지,3,Y,N,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,대국민,직업훈련·교육,홈페이지/포털,교육기관,N,중,웹,대국민,직업훈련·교육,홈페이지/포털,교육기관,N,중,웹
한국기술교육대학교,홈페이지,공용장비센터 홈페이지,3,N,N,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,대국민,정보공개·홍보,홈페이지/포털,교육기관,N,저,웹,대국민,정보공개·홍보,홈페이지/포털,교육기관,N,저,웹
한국기술교육대학교,홈페이지,능력개발교육원 대표 홈페이지,3,Y,Y,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,대국민,직업훈련·교육,홈페이지/포털,교육기관,N,저,웹,대국민,직업훈련·교육,홈페이지/포털,교육기관,N,저,웹
한국기술교육대학교,홈페이지,다산정보관 홈페이지,3,N,N,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,대국민,정보공개·홍보,홈페이지/포털,교육기관,N,저,웹,대국민,정보공개·홍보,홈페이지/포털,교육기관,N,저,웹
한국기술교육대학교,홈페이지,대학 대표 홈페이지(통합),4,Y,Y,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,대국민,정보공개·홍보,홈페이지/포털,교육기관,N,저,웹,대국민,정보공개·홍보,홈페이지/포털,교육기관,N,저,웹
한국기술교육대학교,한기대내부업무시스템,미래학습관 데이터 관리 시스템,미부여,N,N,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,내부,직업훈련·교육,업무처리시스템,교육기관,N,저,웹,내부,직업훈련·교육,업무처리시스템,교육기관,N,저,웹
한국기술교육대학교,한기대내부업무시스템,미래학습관 스마트팩토리 통합관제 시스템,미부여,N,N,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,내부,직업훈련·교육,업무처리시스템,교육기관,N,저,웹,내부,직업훈련·교육,업무처리시스템,교육기관,N,저,웹
한국기술교육대학교,한기대내부업무시스템,부정훈련관리정보시스템(TFDS),4,N,Y,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,혼합,사회보험,업무처리시스템,교육기관,Y,고,웹,혼합,사회보험,업무처리시스템,교육기관,Y,고,웹
한국기술교육대학교,한기대LMS,스마트 직업훈련 플랫폼(STEP),3,N,Y,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,혼합,직업훈련·교육,교육/학습(LMS),교육기관,N,중,웹,혼합,직업훈련·교육,교육/학습(LMS),교육기관,N,중,웹
한국기술교육대학교,한기대LMS,스마트 직업훈련 플랫폼(STEP) 앱 시스템,3,N,Y,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,혼합,직업훈련·교육,교육/학습(LMS),교육기관,N,중,앱,혼합,직업훈련·교육,교육/학습(LMS),교육기관,N,중,앱
한국기술교육대학교,한기대LMS,온라인교육,3,Y,Y,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,혼합,직업훈련·교육,교육/학습(LMS),교육기관,N,저,웹,혼합,직업훈련·교육,교육/학습(LMS),교육기관,N,저,웹
한국기술교육대학교,한기대내부업무시스템,원격훈련심사시스템,4,N,Y,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,혼합,직업훈련·교육,업무처리시스템,교육기관,N,중,웹,혼합,직업훈련·교육,업무처리시스템,교육기관,N,중,웹
한국기술교육대학교,한기대내부업무시스템,웹메일,3,Y,Y,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,내부,행정지원,업무처리시스템,교육기관,N,저,웹,내부,행정지원,업무처리시스템,교육기관,N,저,웹
